time,helmet-in,helmet-out,no-helmet-in,no-helmet-out
2022_03_22_08_58_30,0,0,1,0
2022_03_22_08_58_42,0,0,0,1
2022_03_22_08_58_43,0,0,0,1
2022_03_22_08_59_26,0,0,1,0
2022_03_22_09_00_39,0,0,0,2
2022_03_22_09_01_02,0,0,1,0
2022_03_22_09_01_05,0,0,1,0
2022_03_22_09_01_28,0,0,1,0
2022_03_22_09_01_38,0,0,1,0
2022_03_22_09_01_46,0,0,0,1
2022_03_22_09_02_02,0,0,1,0
2022_03_22_09_13_06,0,0,1,0
2022_03_22_09_14_33,0,0,0,2
2022_03_22_09_15_35,0,0,1,0
2022_03_22_09_17_41,0,0,1,0
2022_03_22_09_20_31,0,0,1,0
2022_03_22_09_21_09,0,0,1,0
2022_03_22_09_23_14,0,0,1,0
2022_03_22_09_23_23,0,0,1,0
2022_03_22_09_25_29,0,0,1,0
2022_03_22_09_26_44,0,0,1,0
2022_03_22_09_40_18,0,0,1,0
2022_03_22_09_41_23,0,0,1,0
2022_03_22_09_46_59,0,0,1,0
2022_03_22_09_47_04,0,0,1,0
2022_03_22_09_52_48,0,0,1,0
2022_03_22_09_54_16,0,0,1,0
2022_03_22_09_55_22,0,0,1,0
2022_03_22_09_56_53,0,0,0,1
2022_03_22_09_57_12,0,0,1,0
2022_03_22_09_59_25,0,0,1,0
2022_03_22_10_03_42,0,0,0,1
2022_03_22_10_09_27,0,0,1,0
2022_03_22_10_09_44,0,0,1,0
2022_03_22_10_16_56,0,0,1,0
2022_03_22_10_21_02,0,0,1,0
2022_03_22_10_26_36,0,0,1,0
2022_03_22_10_28_05,0,0,1,0
2022_03_22_10_28_25,0,0,1,0
2022_03_22_10_31_33,0,0,1,0
2022_03_22_10_37_31,0,0,1,0
2022_03_22_10_39_33,0,0,1,0
2022_03_22_10_40_59,0,0,1,0
2022_03_22_10_42_33,1,0,0,0
2022_03_22_10_42_50,0,0,1,0
2022_03_22_10_46_25,0,0,0,1
2022_03_22_10_46_34,0,0,1,0
2022_03_22_10_46_52,0,0,0,1
2022_03_22_10_48_41,0,0,1,0
2022_03_22_10_49_06,0,0,1,0
2022_03_22_10_49_09,0,0,1,0
2022_03_22_10_49_28,0,0,1,0
2022_03_22_10_49_58,0,0,0,1
2022_03_22_10_50_51,0,0,1,0
2022_03_22_10_51_24,0,0,1,0
2022_03_22_10_51_58,0,0,1,0
2022_03_22_10_52_15,0,0,1,0
2022_03_22_10_54_37,0,0,1,0
